Reg_Predicted_Class,FRW_Predicted_Class,pred_ID_reg_prob,X0_reg_prob,X1_reg_prob,pred_ID_frw_prob,X0_frw_prob,X1_frw_prob,true,ID,train_count_0,train_count_1,test_count_0,test_count_1,md,complexity,tree_count
1,1,52,0.7,0.3,52,0.85,0.15,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,1,53,0.02,0.98,53,0,1,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,54,0.31,0.69,54,0.22,0.78,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,1,55,0.02,0.98,55,0,1,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,56,0.44,0.56,56,0.46,0.54,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,57,0.18,0.82,57,0.26,0.74,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,58,0.66,0.34,58,0.62,0.38,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,59,0.46,0.54,59,0.4,0.6,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,60,0.12,0.88,60,0.21,0.79,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,61,0.48,0.52,61,0.41,0.59,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,62,0.46,0.54,62,0.48,0.52,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,63,0.27,0.73,63,0.13,0.87,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,64,0.66,0.34,64,0.67,0.33,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,65,0.26,0.74,65,0.27,0.73,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,66,0.29,0.71,66,0.22,0.78,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,67,1,0,67,1,0,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,68,0,1,68,0,1,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,69,0.41,0.59,69,0.3,0.7,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,70,0.56,0.44,70,0.61,0.39,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,71,0.55,0.45,71,0.59,0.41,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,72,0.27,0.73,72,0.2,0.8,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,73,0.38,0.62,73,0.43,0.57,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,74,0.41,0.59,74,0.42,0.58,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,75,0.13,0.87,75,0.14,0.86,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,76,0.98,0.02,76,0.95,0.05,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,77,0.29,0.71,77,0.27,0.73,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,78,0,1,78,0,1,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,79,0.21,0.79,79,0.11,0.89,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,0,80,0.93,0.07,80,1,0,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,81,0.71,0.29,81,0.84,0.16,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,82,0.62,0.38,82,0.6,0.4,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,83,0.61,0.39,83,0.62,0.38,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,84,0.95,0.05,84,0.97,0.03,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,85,0.29,0.71,85,0.21,0.79,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,86,0.66,0.34,86,0.81,0.19,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,87,0.65,0.35,87,0.57,0.43,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,88,0.1,0.9,88,0.13,0.87,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,89,0.61,0.39,89,0.62,0.38,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,90,1,0,90,1,0,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,91,0.35,0.65,91,0.24,0.76,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,92,0.6,0.4,92,0.57,0.43,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,93,0.46,0.54,93,0.48,0.52,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,94,0.89,0.11,94,0.97,0.03,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,95,0.15,0.85,95,0.21,0.79,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,96,0.89,0.11,96,0.85,0.15,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,97,0.46,0.54,97,0.35,0.65,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,98,0.45,0.55,98,0.4,0.6,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,99,0,1,99,0,1,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,100,0,1,100,0,1,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,1,1,0.006,0.994,1,0,1,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,2,0.828,0.172,2,0.84,0.16,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,3,0.666,0.334,3,0.692,0.308,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,4,0.944,0.056,4,0.964,0.036,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,5,0.722,0.278,5,0.72,0.28,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,6,0.862,0.138,6,0.866,0.134,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,7,0.95,0.05,7,0.976,0.024,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,8,0.942,0.058,8,0.96,0.04,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,9,0.422,0.578,9,0.44,0.56,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,1,10,0.01,0.99,10,0,1,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,11,0.634,0.366,11,0.622,0.378,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,12,0.714,0.286,12,0.732,0.268,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,13,0.942,0.058,13,0.96,0.04,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,14,0.942,0.058,14,0.942,0.058,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,15,0.274,0.726,15,0.262,0.738,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,16,0.63,0.37,16,0.668,0.332,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,17,0.416,0.584,17,0.384,0.616,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,18,0.474,0.526,18,0.456,0.544,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,19,0.648,0.352,19,0.672,0.328,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,20,0.794,0.206,20,0.8,0.2,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,21,0,1,21,0,1,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,22,0.622,0.378,22,0.636,0.364,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,23,0.118,0.882,23,0.138,0.862,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,24,0,1,24,0,1,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,25,1,0,25,1,0,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,1,26,0.474,0.526,26,0.51,0.49,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,27,0.992,0.008,27,0.994,0.006,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,28,0.996,0.004,28,0.996,0.004,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,29,0.842,0.158,29,0.812,0.188,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,30,0.974,0.026,30,0.968,0.032,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,31,0.07,0.93,31,0.07,0.93,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,32,0.916,0.084,32,0.914,0.086,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,33,1,0,33,1,0,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,34,0.46,0.54,34,0.456,0.544,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,35,0.34,0.66,35,0.346,0.654,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,36,0.296,0.704,36,0.318,0.682,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,37,0.81,0.19,37,0.808,0.192,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,38,0.678,0.322,38,0.662,0.338,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,39,0.024,0.976,39,0.01,0.99,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,40,0.07,0.93,40,0.07,0.93,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,41,0.76,0.24,41,0.76,0.24,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,42,0.132,0.868,42,0.146,0.854,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,43,0.01,0.99,43,0.008,0.992,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,44,1,0,44,1,0,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,45,0.558,0.442,45,0.574,0.426,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,46,0.992,0.008,46,0.994,0.006,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,47,0.148,0.852,47,0.14,0.86,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,48,0.178,0.822,48,0.178,0.822,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,49,0.796,0.204,49,0.806,0.194,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,50,1,0,50,1,0,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,51,0.648,0.352,51,0.682,0.318,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,52,0.832,0.168,52,0.842,0.158,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,53,0.012,0.988,53,0.002,0.998,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,54,0.294,0.706,54,0.254,0.746,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,55,0.202,0.798,55,0.172,0.828,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,56,0.37,0.63,56,0.382,0.618,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,57,0.98,0.02,57,0.964,0.036,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,58,0.62,0.38,58,0.622,0.378,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,59,0.396,0.604,59,0.382,0.618,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,60,0.96,0.04,60,0.954,0.046,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,61,0.666,0.334,61,0.668,0.332,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,62,0,1,62,0,1,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,63,0.134,0.866,63,0.1,0.9,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,64,0.014,0.986,64,0.002,0.998,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,65,0.632,0.368,65,0.636,0.364,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,1,66,0.5,0.5,66,0.512,0.488,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,67,0.56,0.44,67,0.594,0.406,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,68,0.008,0.992,68,0.008,0.992,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,69,0.336,0.664,69,0.338,0.662,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,70,0.71,0.29,70,0.71,0.29,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,71,0.892,0.108,71,0.916,0.084,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,72,0.534,0.466,72,0.552,0.448,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,73,1,0,73,1,0,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,74,0.548,0.452,74,0.574,0.426,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,75,0.364,0.636,75,0.352,0.648,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,76,0,1,76,0,1,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,77,0.364,0.636,77,0.364,0.636,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,78,0.582,0.418,78,0.598,0.402,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,79,0.662,0.338,79,0.686,0.314,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,80,0.356,0.644,80,0.32,0.68,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,81,0.57,0.43,81,0.516,0.484,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,82,0.802,0.198,82,0.814,0.186,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,83,0.23,0.77,83,0.208,0.792,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,84,0.038,0.962,84,0.012,0.988,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,85,0.998,0.002,85,0.998,0.002,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,86,0.918,0.082,86,0.934,0.066,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,87,0.66,0.34,87,0.656,0.344,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,88,0.18,0.82,88,0.212,0.788,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,89,0.406,0.594,89,0.404,0.596,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,90,0.338,0.662,90,0.334,0.666,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,91,0.972,0.028,91,0.968,0.032,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,92,0.798,0.202,92,0.802,0.198,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,1,93,0.006,0.994,93,0,1,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,94,1,0,94,1,0,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,95,1,0,95,1,0,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,96,0.204,0.796,96,0.176,0.824,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,0,97,0.996,0.004,97,1,0,0,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
0,0,98,0.032,0.968,98,0.002,0.998,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,99,0.674,0.326,99,0.676,0.324,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,100,0.596,0.404,100,0.588,0.412,1,2019-10-05 22:26:17,109,93,54,46,2,0.01,500
1,1,1,0.67,0.33,1,0.75,0.25,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,1,2,1,0,2,0.99,0.01,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,3,0.19,0.81,3,0.28,0.72,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,1,4,0.85,0.15,4,0.9,0.1,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,1,5,0.78,0.22,5,0.76,0.24,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,1,6,0.81,0.19,6,0.78,0.22,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,1,7,1,0,7,0.98,0.02,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,8,0.14,0.86,8,0.13,0.87,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,1,9,0.47,0.53,9,0.53,0.47,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,1,10,1,0,10,0.98,0.02,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,11,0.07,0.93,11,0.06,0.94,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,1,12,0.01,0.99,12,0,1,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,13,0.43,0.57,13,0.39,0.61,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,1,14,0.99,0.01,14,0.99,0.01,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,15,0.43,0.57,15,0.42,0.58,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,16,0.25,0.75,16,0.27,0.73,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,17,0.37,0.63,17,0.36,0.64,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,18,0.38,0.62,18,0.36,0.64,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,1,19,0.58,0.42,19,0.57,0.43,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,20,0.01,0.99,20,0.01,0.99,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,21,0.34,0.66,21,0.39,0.61,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,1,22,0.66,0.34,22,0.74,0.26,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,1,23,0.99,0.01,23,0.98,0.02,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,0,24,0,1,24,0.01,0.99,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,25,0.1,0.9,25,0.1,0.9,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,1,26,0.58,0.42,26,0.59,0.41,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,1,27,0.5,0.5,27,0.66,0.34,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,28,0.13,0.87,28,0.14,0.86,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,29,0.01,0.99,29,0.02,0.98,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,30,0.39,0.61,30,0.37,0.63,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,31,0.46,0.54,31,0.4,0.6,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,1,32,0.82,0.18,32,0.79,0.21,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,1,33,0.58,0.42,33,0.57,0.43,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,1,34,0.89,0.11,34,0.84,0.16,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,35,0.21,0.79,35,0.18,0.82,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,1,36,0.87,0.13,36,0.83,0.17,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,1,37,0.83,0.17,37,0.87,0.13,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,38,0.08,0.92,38,0.09,0.91,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,1,39,0.96,0.04,39,0.98,0.02,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,40,0.42,0.58,40,0.37,0.63,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,41,1,0,41,1,0,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,42,0.04,0.96,42,0.03,0.97,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,43,1,0,43,1,0,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,44,0.38,0.62,44,0.41,0.59,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,1,45,0.76,0.24,45,0.75,0.25,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,0,46,0.97,0.03,46,1,0,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,1,47,0.84,0.16,47,0.77,0.23,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,48,1,0,48,1,0,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,1,49,0.6,0.4,49,0.62,0.38,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,50,1,0,50,1,0,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,1,51,1,0,51,0.98,0.02,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,52,0.41,0.59,52,0.4,0.6,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,53,0.16,0.84,53,0.19,0.81,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
0,0,54,0.02,0.98,54,0.03,0.97,1,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
1,1,55,0.82,0.18,55,0.81,0.19,0,2019-10-05 22:27:14,112,90,51,49,2,0.05,100
