Reg_Predicted_Class,FRW_Predicted_Class,pred_ID_reg_prob,setosa_reg_prob,versicolor_reg_prob,virginica_reg_prob,pred_ID_frw_prob,setosa_frw_prob,versicolor_frw_prob,virginica_frw_prob,true,ID,train_count_setosa,train_count_versicolor,train_count_virginica,test_count_setosa,test_count_versicolor,test_count_virginica,md,ms,complexity,tree_count
versicolor,versicolor,31,0,1,0,31,0,1,0,versicolor,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,32,0,1,0,32,0,1,0,versicolor,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,33,0,1,0,33,0,1,0,versicolor,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
virginica,virginica,34,0,0,1,34,0,0,1,virginica,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
virginica,virginica,35,0,0,1,35,0,0,1,virginica,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
virginica,virginica,36,0,0,1,36,0,0,1,virginica,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
virginica,virginica,37,0,0,1,37,0,0,1,virginica,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
virginica,virginica,38,0,0,1,38,0,0,1,virginica,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
virginica,virginica,39,0,0,1,39,0,0,1,virginica,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
virginica,virginica,40,0,0,1,40,0,0,1,virginica,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
virginica,virginica,41,0,0,1,41,0,0,1,virginica,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,42,0,0.24,0.76,42,0,0.18,0.82,virginica,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,43,0,0.24,0.76,43,0,0.18,0.82,virginica,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
virginica,virginica,44,0,0,1,44,0,0,1,virginica,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
virginica,virginica,45,0,0,1,45,0,0,1,virginica,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
virginica,virginica,46,0,0,1,46,0,0,1,virginica,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,47,0,0.43,0.57,47,0,0.33,0.67,virginica,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
virginica,virginica,48,0,0,1,48,0,0,1,virginica,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,49,0,0.06,0.94,49,0,0.04,0.96,virginica,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
virginica,virginica,50,0,0,1,50,0,0,1,virginica,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
setosa,setosa,1,1,0,0,1,1,0,0,setosa,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
setosa,setosa,2,1,0,0,2,1,0,0,setosa,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
setosa,setosa,3,1,0,0,3,1,0,0,setosa,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
setosa,setosa,4,1,0,0,4,1,0,0,setosa,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
setosa,setosa,5,1,0,0,5,1,0,0,setosa,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
setosa,setosa,6,1,0,0,6,1,0,0,setosa,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
setosa,setosa,7,1,0,0,7,1,0,0,setosa,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
setosa,setosa,8,1,0,0,8,1,0,0,setosa,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
setosa,setosa,9,1,0,0,9,1,0,0,setosa,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
setosa,setosa,10,1,0,0,10,1,0,0,setosa,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
setosa,setosa,11,1,0,0,11,1,0,0,setosa,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
setosa,setosa,12,1,0,0,12,1,0,0,setosa,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
setosa,setosa,13,1,0,0,13,1,0,0,setosa,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
setosa,setosa,14,1,0,0,14,1,0,0,setosa,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
versicolor,versicolor,15,0,1,0,15,0,1,0,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,16,0,0.988,0.012,16,0,0.992,0.008,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,17,0,0.864,0.136,17,0,0.992,0.008,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
versicolor,versicolor,18,0,1,0,18,0,1,0,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,19,0,0.988,0.012,19,0,0.992,0.008,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
versicolor,versicolor,20,0,1,0,20,0,1,0,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,21,0,0.988,0.012,21,0,0.992,0.008,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
versicolor,versicolor,22,0,1,0,22,0,1,0,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,23,0,0.842,0.158,23,0,0.892,0.108,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,versicolor,24,0,0.996,0.004,24,0,1,0,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
versicolor,versicolor,25,0,1,0,25,0,1,0,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
versicolor,versicolor,26,0,1,0,26,0,1,0,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,27,0,0.586,0.414,27,0,0.782,0.218,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,28,0,0.988,0.012,28,0,0.992,0.008,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
versicolor,versicolor,29,0,1,0,29,0,1,0,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
versicolor,versicolor,30,0,1,0,30,0,1,0,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
versicolor,versicolor,31,0,1,0,31,0,1,0,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
versicolor,versicolor,32,0,1,0,32,0,1,0,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
versicolor,versicolor,33,0,1,0,33,0,1,0,versicolor,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,34,0,0,1,34,0,0,1,virginica,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
versicolor,versicolor,35,0,0.042,0.958,35,0,0.024,0.976,virginica,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,36,0,0,1,36,0,0,1,virginica,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,37,0,0,1,37,0,0,1,virginica,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
versicolor,versicolor,38,0,0.136,0.864,38,0,0.11,0.89,virginica,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
versicolor,versicolor,39,0,0.136,0.864,39,0,0.11,0.89,virginica,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,40,0,0,1,40,0,0,1,virginica,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,41,0,0,1,41,0,0,1,virginica,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,42,0,0.586,0.414,42,0,0.782,0.218,virginica,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,43,0,0.706,0.294,43,0,0.782,0.218,virginica,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,44,0,0.718,0.282,44,0,0.79,0.21,virginica,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,45,0,0,1,45,0,0,1,virginica,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,46,0,0,1,46,0,0,1,virginica,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,47,0,0,1,47,0,0,1,virginica,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,48,0,0,1,48,0,0,1,virginica,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,49,0,0,1,49,0,0,1,virginica,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
virginica,virginica,50,0,0,1,50,0,0,1,virginica,2019-10-03 01:15:00,36,31,33,14,19,17,2,5,0.01,500
setosa,setosa,1,1,0,0,1,1,0,0,setosa,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
setosa,setosa,2,1,0,0,2,1,0,0,setosa,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
setosa,setosa,3,1,0,0,3,1,0,0,setosa,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
setosa,setosa,4,1,0,0,4,1,0,0,setosa,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
versicolor,setosa,5,0.99,0.01,0,5,1,0,0,setosa,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
setosa,setosa,6,1,0,0,6,1,0,0,setosa,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
setosa,setosa,7,1,0,0,7,1,0,0,setosa,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
setosa,setosa,8,1,0,0,8,1,0,0,setosa,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
setosa,setosa,9,1,0,0,9,1,0,0,setosa,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
setosa,setosa,10,1,0,0,10,1,0,0,setosa,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
versicolor,setosa,11,0.99,0.01,0,11,1,0,0,setosa,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
setosa,setosa,12,1,0,0,12,1,0,0,setosa,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
versicolor,setosa,13,0.99,0.01,0,13,1,0,0,setosa,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
setosa,setosa,14,1,0,0,14,1,0,0,setosa,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
setosa,setosa,15,1,0,0,15,1,0,0,setosa,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
setosa,setosa,16,1,0,0,16,1,0,0,setosa,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
setosa,setosa,17,1,0,0,17,1,0,0,setosa,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
versicolor,versicolor,18,0,1,0,18,0,1,0,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
virginica,virginica,19,0,0.98,0.02,19,0,0.98,0.02,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
virginica,virginica,20,0,0.88,0.12,20,0,0.98,0.02,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
setosa,versicolor,21,0.01,0.99,0,21,0,1,0,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
setosa,versicolor,22,0.01,0.99,0,22,0,1,0,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
virginica,virginica,23,0,0.98,0.02,23,0,0.98,0.02,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
virginica,versicolor,24,0,0.99,0.01,24,0,1,0,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
virginica,virginica,25,0,0.98,0.02,25,0,0.98,0.02,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
virginica,virginica,26,0,0.98,0.02,26,0,0.98,0.02,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
versicolor,versicolor,27,0,1,0,27,0,1,0,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
versicolor,versicolor,28,0,1,0,28,0,1,0,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
versicolor,versicolor,29,0,1,0,29,0,1,0,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
versicolor,virginica,30,0,0.45,0.55,30,0,0.54,0.46,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
setosa,virginica,31,0.01,0.97,0.02,31,0,0.98,0.02,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
virginica,virginica,32,0,0.97,0.03,32,0,0.98,0.02,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
versicolor,versicolor,33,0,1,0,33,0,1,0,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
versicolor,versicolor,34,0,1,0,34,0,1,0,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
versicolor,versicolor,35,0,1,0,35,0,1,0,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
versicolor,versicolor,36,0,1,0,36,0,1,0,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
versicolor,versicolor,37,0,1,0,37,0,1,0,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
versicolor,versicolor,38,0,1,0,38,0,1,0,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
setosa,versicolor,39,0.01,0.99,0,39,0,1,0,versicolor,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
virginica,virginica,40,0,0,1,40,0,0,1,virginica,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
virginica,virginica,41,0,0,1,41,0,0,1,virginica,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
virginica,virginica,42,0,0,1,42,0,0,1,virginica,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
virginica,virginica,43,0,0,1,43,0,0,1,virginica,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
virginica,virginica,44,0,0,1,44,0,0,1,virginica,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
virginica,virginica,45,0,0,1,45,0,0,1,virginica,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
versicolor,virginica,46,0,0.45,0.55,46,0,0.54,0.46,virginica,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
virginica,virginica,47,0,0,1,47,0,0,1,virginica,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
virginica,virginica,48,0,0,1,48,0,0,1,virginica,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
virginica,virginica,49,0,0,1,49,0,0,1,virginica,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
versicolor,versicolor,50,0,0.05,0.95,50,0,0.05,0.95,virginica,2019-10-03 01:15:14,33,28,39,17,22,11,2,5,0.05,100
setosa,setosa,1,1,0,0,1,1,0,0,setosa,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
setosa,setosa,2,1,0,0,2,1,0,0,setosa,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
setosa,setosa,3,1,0,0,3,1,0,0,setosa,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
setosa,setosa,4,1,0,0,4,1,0,0,setosa,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
setosa,setosa,5,1,0,0,5,1,0,0,setosa,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
setosa,setosa,6,1,0,0,6,1,0,0,setosa,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
setosa,setosa,7,1,0,0,7,1,0,0,setosa,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
setosa,setosa,8,1,0,0,8,1,0,0,setosa,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
setosa,setosa,9,1,0,0,9,1,0,0,setosa,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
setosa,setosa,10,1,0,0,10,1,0,0,setosa,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
setosa,setosa,11,1,0,0,11,1,0,0,setosa,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
setosa,setosa,12,1,0,0,12,1,0,0,setosa,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
setosa,setosa,13,1,0,0,13,1,0,0,setosa,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
setosa,setosa,14,1,0,0,14,1,0,0,setosa,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
setosa,setosa,15,1,0,0,15,1,0,0,setosa,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
setosa,setosa,16,1,0,0,16,1,0,0,setosa,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
setosa,setosa,17,1,0,0,17,1,0,0,setosa,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,virginica,18,0,0.994,0.006,18,0,0.994,0.006,versicolor,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,virginica,19,0,0.518,0.482,19,0,0.546,0.454,versicolor,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,virginica,20,0,0.944,0.056,20,0,0.946,0.054,versicolor,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,versicolor,21,0,0.998,0.002,21,0,1,0,versicolor,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,virginica,22,0,0.994,0.006,22,0,0.994,0.006,versicolor,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,virginica,23,0,0.994,0.006,23,0,0.994,0.006,versicolor,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
versicolor,versicolor,24,0,1,0,24,0,1,0,versicolor,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
versicolor,versicolor,25,0,1,0,25,0,1,0,versicolor,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
versicolor,versicolor,26,0,1,0,26,0,1,0,versicolor,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,virginica,27,0,0.994,0.006,27,0,0.994,0.006,versicolor,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
versicolor,versicolor,28,0,1,0,28,0,1,0,versicolor,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
versicolor,versicolor,29,0,1,0,29,0,1,0,versicolor,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,versicolor,30,0,0.998,0.002,30,0,1,0,versicolor,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
versicolor,versicolor,31,0,1,0,31,0,1,0,versicolor,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
versicolor,versicolor,32,0,1,0,32,0,1,0,versicolor,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
versicolor,versicolor,33,0,1,0,33,0,1,0,versicolor,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
versicolor,versicolor,34,0,1,0,34,0,1,0,versicolor,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
versicolor,versicolor,35,0,1,0,35,0,1,0,versicolor,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,virginica,36,0,0,1,36,0,0,1,virginica,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,virginica,37,0,0,1,37,0,0,1,virginica,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,virginica,38,0,0,1,38,0,0,1,virginica,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,virginica,39,0,0,1,39,0,0,1,virginica,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
versicolor,versicolor,40,0,0.16,0.84,40,0,0.14,0.86,virginica,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,virginica,41,0,0,1,41,0,0,1,virginica,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,virginica,42,0,0,1,42,0,0,1,virginica,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,versicolor,43,0,0.522,0.478,43,0,0.482,0.518,virginica,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,virginica,44,0,0,1,44,0,0,1,virginica,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
versicolor,virginica,45,0,0.004,0.996,45,0,0,1,virginica,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
versicolor,virginica,46,0,0.004,0.996,46,0,0,1,virginica,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,virginica,47,0,0,1,47,0,0,1,virginica,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,virginica,48,0,0,1,48,0,0,1,virginica,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,virginica,49,0,0,1,49,0,0,1,virginica,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
virginica,virginica,50,0,0,1,50,0,0,1,virginica,2019-10-03 01:16:26,33,32,35,17,18,15,2,5,0.05,500
setosa,setosa,1,1,0,0,1,1,0,0,setosa,2019-10-03 01:16:41,29,40,31,21,10,19,2,5,0.1,100
setosa,setosa,2,1,0,0,2,1,0,0,setosa,2019-10-03 01:16:41,29,40,31,21,10,19,2,5,0.1,100
setosa,setosa,3,1,0,0,3,1,0,0,setosa,2019-10-03 01:16:41,29,40,31,21,10,19,2,5,0.1,100
setosa,setosa,4,1,0,0,4,1,0,0,setosa,2019-10-03 01:16:41,29,40,31,21,10,19,2,5,0.1,100
setosa,setosa,5,1,0,0,5,1,0,0,setosa,2019-10-03 01:16:41,29,40,31,21,10,19,2,5,0.1,100
setosa,setosa,6,1,0,0,6,1,0,0,setosa,2019-10-03 01:16:41,29,40,31,21,10,19,2,5,0.1,100
setosa,setosa,7,1,0,0,7,1,0,0,setosa,2019-10-03 01:16:41,29,40,31,21,10,19,2,5,0.1,100
